Record_ID,Company,Date,Month,Month_Name,Quarter,Year,Department,Region,Business_Unit,Project_Type,Client_Segment,Employees_Assigned,Hourly_Rate_EUR,Revenue,Visible_Cost,Gross_Margin,Delay_Hours,Rework_Hours,Meeting_Hours,Overtime_Hours,Idle_Hours,Incidents,SLA_Breaches,Manual_Tasks,Automation_Level,Customer_Satisfaction,Employee_Satisfaction,Productivity_Score,Delay_Cost,Rework_Cost,Meeting_Cost,Overtime_Cost,Idle_Cost,Incident_Cost,SLA_Breach_Cost,Manual_Process_Cost,Hidden_Cost,Profit_After_Hidden_Cost,Hidden_Cost_Rate,Risk_Level
OT-00845,OrionTech,2025-01-03,1,Jan,Q1,2025,Finance,North America,Cybersecurity,Transformation,Mid-Market,23,55.7,45750.77,32125.51,13625.26,2.1,0.2,5.3,5.0,0.8,0,0,19,59.8,83.8,67.8,89.2,157.91,13.37,1222.17,417.75,37.88,0.0,0.0,233.99,2083.07,11542.19,0.0455,Low
OT-01550,OrionTech,2025-01-03,1,Jan,Q1,2025,Operations,LATAM,Cloud & Data,Support,SME,38,41.71,23747.29,13067.65,10679.64,10.5,8.4,13.3,6.3,3.4,3,3,37,70.5,86.3,83.0,65.5,591.24,420.44,3794.44,394.16,120.54,1464.89,1196.22,250.4,8232.33,2447.31,0.3467,High
OT-04055,OrionTech,2025-01-03,1,Jan,Q1,2025,Sales,Spain,Telecom Platforms,Client Delivery,SME,55,48.56,51112.0,32778.49,18333.51,2.4,13.9,10.2,9.2,0.9,1,2,33,63.2,83.0,67.8,73.7,157.33,809.98,4903.59,670.13,37.15,274.74,708.36,324.34,7885.62,10447.89,0.1543,Medium
OT-02789,OrionTech,2025-01-03,1,Jan,Q1,2025,IT,Spain,Cybersecurity,Client Delivery,Strategic Accounts,18,40.73,40146.66,34275.51,5871.15,4.2,4.4,10.0,1.6,4.9,2,1,32,50.7,78.7,81.9,84.4,230.94,215.05,1319.65,97.75,169.64,1233.48,394.04,353.41,4013.96,1857.19,0.1,Medium
OT-04598,OrionTech,2025-01-03,1,Jan,Q1,2025,Sales,Spain,Digital Services,Client Delivery,Strategic Accounts,23,54.12,21150.41,16262.74,4887.67,0.6,0.2,17.0,11.0,3.4,1,1,21,52.6,79.5,77.8,83.9,43.84,12.99,3808.97,892.98,156.41,315.35,520.87,296.29,6047.7,-1160.03,0.2859,High
OT-03217,OrionTech,2025-01-03,1,Jan,Q1,2025,Sales,Spain,Telecom Platforms,Compliance,Mid-Market,33,52.27,40579.56,28968.07,11611.49,5.0,0.3,6.8,2.5,2.9,1,2,24,80.7,75.8,85.8,68.6,352.82,18.82,2111.29,196.01,128.85,342.19,541.98,133.16,3825.12,7786.37,0.0943,Medium
OT-00773,OrionTech,2025-01-03,1,Jan,Q1,2025,Customer Support,Europe,Banking Solutions,Support,Enterprise,60,49.46,18034.03,12380.3,5653.73,3.4,3.5,8.1,2.7,2.1,1,3,20,54.4,73.0,67.8,63.3,227.02,207.73,4326.76,200.31,88.29,463.05,1820.12,248.09,7581.37,-1927.64,0.4204,High
OT-03234,OrionTech,2025-01-03,1,Jan,Q1,2025,Controlling,APAC,Digital Services,Transformation,Strategic Accounts,35,38.52,22654.03,12677.33,9976.7,0.9,0.2,10.7,2.0,2.1,0,0,21,59.5,85.2,76.1,87.3,46.8,9.24,2596.63,115.56,68.76,0.0,0.0,180.19,3017.18,6959.52,0.1332,Medium
OT-02646,OrionTech,2025-01-03,1,Jan,Q1,2025,Marketing,LATAM,Cybersecurity,Compliance,Strategic Accounts,21,43.09,18791.82,12687.39,6104.43,8.0,1.7,5.7,3.7,3.3,0,1,18,49.1,70.6,74.0,74.1,465.37,87.9,928.42,239.15,120.87,0.0,477.89,217.13,2536.73,3567.7,0.135,Medium
OT-00846,OrionTech,2025-01-03,1,Jan,Q1,2025,Legal & Compliance,APAC,Digital Services,Client Delivery,SME,46,39.92,31313.46,15107.52,16205.94,6.2,4.6,9.1,2.3,0.9,1,0,31,51.2,82.6,73.5,83.8,334.13,220.36,3007.89,137.72,30.54,1147.35,0.0,332.15,5210.14,10995.8,0.1664,Medium
OT-00901,OrionTech,2025-01-03,1,Jan,Q1,2025,HR,Spain,Corporate Services,Support,Mid-Market,40,42.12,20999.82,9443.81,11556.01,5.4,0.6,11.4,10.9,1.8,0,1,26,71.1,89.5,70.0,74.3,307.05,30.33,3457.21,688.66,64.44,0.0,783.54,174.07,5505.3,6050.71,0.2622,High
OT-02628,OrionTech,2025-01-03,1,Jan,Q1,2025,Customer Support,Spain,Banking Solutions,Client Delivery,SME,29,55.65,17132.1,11714.09,5418.01,0.6,5.1,7.4,3.2,10.1,3,1,32,47.7,57.0,64.8,69.5,45.08,340.58,2149.65,267.12,477.76,1392.5,505.68,512.25,5690.62,-272.61,0.3322,High
OT-00381,OrionTech,2025-01-03,1,Jan,Q1,2025,Marketing,APAC,Digital Services,Commercial Growth,SME,50,32.28,27815.43,17174.12,10641.31,8.0,2.5,14.3,2.1,0.6,0,0,28,77.3,94.0,79.3,60.9,348.62,96.84,4154.44,101.68,16.46,0.0,0.0,112.84,4830.88,5810.43,0.1737,Medium
OT-01237,OrionTech,2025-01-03,1,Jan,Q1,2025,IT,North America,Banking Solutions,Support,Strategic Accounts,38,34.7,28228.32,25081.58,3146.74,7.5,1.5,9.8,2.8,0.8,5,1,20,74.0,82.2,84.1,88.0,351.34,62.46,2326.01,145.74,23.6,2971.78,623.0,99.24,6603.17,-3456.43,0.2339,High
OT-00575,OrionTech,2025-01-04,1,Jan,Q1,2025,Marketing,North America,Telecom Platforms,Support,Mid-Market,26,65.57,60184.1,46079.13,14104.97,3.3,0.6,17.2,17.9,3.6,0,0,24,78.2,77.2,62.0,77.9,292.11,47.21,5278.12,1760.55,200.64,0.0,0.0,188.68,7767.31,6337.66,0.1291,Medium
OT-02401,OrionTech,2025-01-04,1,Jan,Q1,2025,IT,APAC,Digital Services,Internal Operations,Strategic Accounts,23,58.38,34227.6,29350.59,4877.01,3.1,8.3,12.7,14.7,1.7,2,1,60,54.0,73.0,66.1,68.6,244.32,581.46,3069.5,1287.28,84.36,903.57,354.45,886.21,7411.15,-2534.14,0.2165,High
OT-00707,OrionTech,2025-01-04,1,Jan,Q1,2025,IT,Europe,Cloud & Data,Commercial Growth,Public Sector,48,24.0,36177.72,31167.91,5009.81,8.3,0.5,11.1,6.0,1.1,4,3,52,65.8,71.7,62.5,72.8,268.92,14.4,2301.7,216.0,22.44,2301.73,2262.2,234.75,7622.14,-2612.33,0.2107,High
OT-00104,OrionTech,2025-01-04,1,Jan,Q1,2025,Operations,Spain,Corporate Services,Client Delivery,Strategic Accounts,36,49.65,29506.79,15852.62,13654.17,4.2,12.9,9.3,1.0,5.0,0,2,28,28.1,79.0,79.5,67.7,281.52,768.58,2992.11,74.47,211.01,0.0,1654.07,549.75,6531.51,7122.66,0.2214,High
OT-01279,OrionTech,2025-01-04,1,Jan,Q1,2025,Marketing,Spain,Cloud & Data,Client Delivery,Strategic Accounts,27,38.14,20063.79,15842.77,4221.02,3.4,4.6,6.6,2.4,2.0,3,3,29,68.5,72.3,64.9,66.1,175.06,210.53,1223.38,137.3,64.84,815.89,2534.39,191.62,5353.01,-1131.99,0.2668,High
OT-03399,OrionTech,2025-01-04,1,Jan,Q1,2025,Finance,Spain,Banking Solutions,Internal Operations,Public Sector,16,54.65,39559.92,29120.2,10439.72,6.2,3.8,14.9,0.6,10.3,1,0,22,95.0,90.4,76.1,72.9,457.42,249.2,2345.14,49.18,478.46,595.01,0.0,33.06,4207.47,6232.25,0.1064,Medium
OT-04689,OrionTech,2025-01-04,1,Jan,Q1,2025,Sales,Spain,Banking Solutions,Transformation,Public Sector,56,46.39,19851.78,14838.68,5013.1,16.3,4.9,15.5,16.6,0.9,2,1,20,51.5,82.1,72.5,65.4,1020.81,272.77,7247.97,1155.11,35.49,593.14,665.89,247.49,11238.67,-6225.57,0.5661,High
OT-00465,OrionTech,2025-01-04,1,Jan,Q1,2025,Marketing,Spain,Corporate Services,Support,Mid-Market,27,47.56,26071.86,17676.37,8395.49,5.4,2.8,12.1,2.6,5.9,2,1,24,53.5,77.9,72.2,78.4,346.71,159.8,2796.81,185.48,238.51,571.14,312.46,291.92,4902.83,3492.66,0.1881,High
OT-02202,OrionTech,2025-01-04,1,Jan,Q1,2025,Finance,LATAM,Digital Services,Client Delivery,Mid-Market,41,38.65,13279.58,6381.48,6898.1,1.7,0.9,0.0,0.6,0.6,2,2,13,60.5,71.9,68.0,96.4,88.7,41.74,0.0,34.78,19.71,1535.16,1434.51,109.16,3263.76,3634.34,0.2458,High
OT-01190,OrionTech,2025-01-04,1,Jan,Q1,2025,IT,Europe,Telecom Platforms,Internal Operations,Public Sector,32,45.6,43483.72,29405.8,14077.92,3.1,2.5,8.1,1.2,6.8,4,4,36,51.3,59.3,79.3,65.0,190.84,136.8,2127.51,82.08,263.57,1838.99,3223.01,439.7,8302.5,5775.42,0.1909,High
OT-04885,OrionTech,2025-01-04,1,Jan,Q1,2025,Customer Support,North America,Cloud & Data,Support,Enterprise,18,62.3,38034.33,27849.22,10185.11,8.6,4.1,4.8,0.3,1.7,3,4,38,41.6,59.5,81.3,74.0,723.3,306.52,968.89,28.03,90.02,1347.72,1702.67,760.41,5927.56,4257.55,0.1558,High
OT-04361,OrionTech,2025-01-04,1,Jan,Q1,2025,Customer Support,Spain,Cloud & Data,Commercial Growth,Strategic Accounts,33,39.12,31018.6,20080.11,10938.49,2.4,3.6,10.6,2.0,5.5,1,1,48,64.2,61.3,67.1,71.5,126.75,169.0,2463.15,117.36,182.89,454.21,806.05,369.73,4689.14,6249.35,0.1512,Medium
OT-03799,OrionTech,2025-01-05,1,Jan,Q1,2025,Legal & Compliance,Europe,Cybersecurity,Commercial Growth,SME,29,61.87,26747.49,18306.26,8441.23,6.4,0.6,10.5,6.1,1.3,1,0,27,43.6,87.8,76.0,80.6,534.56,44.55,3391.09,566.11,68.37,1128.63,0.0,518.19,6251.5,2189.73,0.2337,High
OT-02443,OrionTech,2025-01-05,1,Jan,Q1,2025,Sales,Spain,Digital Services,Client Delivery,Enterprise,5,49.3,29008.74,20415.6,8593.14,3.4,4.8,15.3,4.4,3.2,0,0,30,58.0,88.1,67.6,72.0,226.29,283.97,678.86,325.38,134.1,0.0,0.0,341.65,1990.25,6602.89,0.0686,Low
OT-01175,OrionTech,2025-01-05,1,Jan,Q1,2025,Sales,APAC,Digital Services,Transformation,Mid-Market,43,42.49,29529.78,24927.69,4602.09,1.4,5.1,10.5,2.0,0.5,2,1,19,33.3,87.9,71.6,76.6,80.31,260.04,3453.16,127.47,18.06,560.52,660.25,296.16,5455.97,-853.88,0.1848,High
OT-01807,OrionTech,2025-01-05,1,Jan,Q1,2025,HR,Spain,Digital Services,Client Delivery,Enterprise,47,34.14,13478.6,5636.08,7842.52,3.9,0.7,14.4,1.7,5.4,0,0,43,48.7,76.8,70.1,68.7,179.75,28.68,4159.07,87.06,156.7,0.0,0.0,414.2,5025.46,2817.06,0.3728,High
OT-04131,OrionTech,2025-01-05,1,Jan,Q1,2025,Operations,Europe,Cloud & Data,Transformation,Mid-Market,40,47.54,27459.42,18238.86,9220.56,9.7,2.4,7.5,2.5,2.0,1,3,35,38.4,58.2,62.7,79.3,622.54,136.92,2567.16,178.27,80.82,401.49,878.86,563.73,5429.79,3790.77,0.1977,High
OT-04768,OrionTech,2025-01-05,1,Jan,Q1,2025,Legal & Compliance,APAC,Cybersecurity,Transformation,Enterprise,55,54.58,25495.14,12109.69,13385.45,0.5,3.6,7.9,12.0,0.1,2,0,25,66.4,83.2,66.4,86.5,36.84,235.79,4268.7,982.44,4.64,2188.12,0.0,252.16,7968.69,5416.76,0.3126,High
OT-03725,OrionTech,2025-01-05,1,Jan,Q1,2025,Operations,Spain,Banking Solutions,Support,SME,41,50.08,23304.87,14784.05,8520.82,9.2,2.8,7.2,4.5,3.4,1,0,41,60.6,77.7,63.3,55.9,621.99,168.27,2661.05,338.04,144.73,517.07,0.0,444.95,4896.1,3624.72,0.2101,High
OT-00303,OrionTech,2025-01-05,1,Jan,Q1,2025,IT,LATAM,Digital Services,Support,Enterprise,27,48.48,31156.9,25452.15,5704.75,10.5,8.2,6.9,5.3,1.4,5,5,40,69.6,77.4,65.0,74.6,687.2,477.04,1625.73,385.42,57.69,3025.82,4018.01,324.23,10601.14,-4896.39,0.3403,High
OT-01532,OrionTech,2025-01-05,1,Jan,Q1,2025,Sales,LATAM,Digital Services,Client Delivery,Enterprise,33,39.36,53998.98,42342.56,11656.42,1.9,0.6,10.2,6.6,1.7,3,0,27,78.5,89.9,63.7,78.0,100.96,28.34,2384.74,389.66,56.88,967.44,0.0,125.67,4053.69,7602.73,0.0751,Low
OT-01763,OrionTech,2025-01-05,1,Jan,Q1,2025,Operations,Spain,Cybersecurity,Internal Operations,Strategic Accounts,12,59.73,29412.33,21596.49,7815.84,4.0,2.4,5.4,5.0,5.0,2,1,27,51.3,73.6,71.5,79.3,322.54,172.02,696.69,447.98,253.85,1068.37,470.14,431.96,3863.55,3952.29,0.1314,Medium
OT-01070,OrionTech,2025-01-06,1,Jan,Q1,2025,Operations,Spain,Cloud & Data,Commercial Growth,Strategic Accounts,17,41.64,36088.81,18645.48,17443.33,12.5,14.8,9.2,7.9,0.4,2,4,49,66.3,69.4,76.9,63.4,702.68,739.53,1172.25,493.43,14.16,950.52,3109.73,378.18,7560.48,9882.85,0.2095,High
OT-03822,OrionTech,2025-01-06,1,Jan,Q1,2025,Operations,Spain,Digital Services,Support,Enterprise,37,42.83,32433.64,19006.9,13426.74,1.9,0.6,8.6,2.6,2.6,2,1,43,38.2,73.0,56.9,65.5,109.86,30.84,2453.13,167.04,94.65,1090.19,811.8,625.99,5383.5,8043.24,0.166,Medium
OT-00801,OrionTech,2025-01-06,1,Jan,Q1,2025,Customer Support,Spain,Corporate Services,Internal Operations,Mid-Market,25,50.68,21093.09,12520.62,8572.47,6.8,6.2,10.6,4.9,2.0,2,4,44,52.1,68.3,67.7,74.9,465.24,377.06,2417.44,372.5,86.16,819.35,1036.36,587.47,6161.58,2410.89,0.2921,High
OT-03904,OrionTech,2025-01-06,1,Jan,Q1,2025,Legal & Compliance,Europe,Telecom Platforms,Support,Strategic Accounts,29,40.86,13629.5,8169.42,5460.08,6.2,2.0,6.6,3.5,1.0,1,2,22,59.8,72.6,85.2,77.9,342.0,98.06,1407.71,214.52,34.73,826.16,935.67,198.75,4057.6,1402.48,0.2977,High
OT-00790,OrionTech,2025-01-06,1,Jan,Q1,2025,Sales,Europe,Banking Solutions,Support,Strategic Accounts,36,42.46,50156.48,31368.31,18788.17,7.6,3.1,17.4,6.8,1.4,3,1,27,51.5,84.7,73.4,72.5,435.64,157.95,4787.45,433.09,50.53,1064.1,887.41,305.81,8121.98,10666.19,0.1619,Medium
OT-04788,OrionTech,2025-01-06,1,Jan,Q1,2025,HR,LATAM,Digital Services,Client Delivery,Strategic Accounts,48,44.81,13309.49,5977.29,7332.2,2.3,4.1,8.0,2.2,1.3,2,1,28,42.3,77.7,76.8,78.1,139.14,220.47,3097.27,147.87,49.52,700.65,821.26,398.17,5574.35,1757.85,0.4188,High
OT-04393,OrionTech,2025-01-06,1,Jan,Q1,2025,Customer Support,LATAM,Cybersecurity,Support,Enterprise,58,48.21,17082.41,12607.26,4475.15,1.6,0.3,8.2,5.8,0.6,3,3,39,42.4,69.7,62.9,80.5,104.13,17.36,4127.16,419.43,24.59,1148.93,2271.45,595.64,8708.69,-4233.54,0.5098,High
OT-01121,OrionTech,2025-01-07,1,Jan,Q1,2025,Finance,LATAM,Cloud & Data,Client Delivery,Strategic Accounts,20,42.97,31179.2,16714.23,14464.97,7.3,4.0,10.2,4.5,0.8,1,0,36,71.7,72.6,80.5,79.5,423.47,206.26,1577.86,290.05,29.22,527.41,0.0,240.78,3295.05,11169.92,0.1057,Medium
OT-01682,OrionTech,2025-01-07,1,Jan,Q1,2025,Operations,North America,Digital Services,Support,Enterprise,35,47.03,41968.56,34021.68,7946.88,16.1,9.3,7.4,8.1,1.5,5,1,16,49.5,71.3,67.7,66.8,1022.2,524.85,2192.54,571.41,59.96,2417.18,455.04,209.0,7452.18,494.7,0.1776,Medium
OT-04046,OrionTech,2025-01-07,1,Jan,Q1,2025,Customer Support,LATAM,Telecom Platforms,Commercial Growth,Mid-Market,53,42.27,25163.91,17172.71,7991.2,10.9,1.3,14.9,2.8,4.7,5,3,42,31.6,73.2,67.6,66.7,622.0,65.94,6008.51,177.53,168.87,2163.37,2129.48,667.88,12003.58,-4012.38,0.477,High
OT-04230,OrionTech,2025-01-07,1,Jan,Q1,2025,Sales,Spain,Banking Solutions,Client Delivery,SME,14,38.07,30549.36,25264.4,5284.96,7.1,3.9,12.1,7.1,2.8,0,1,28,45.4,80.9,72.8,78.9,364.9,178.17,1160.83,405.45,90.61,0.0,393.95,320.11,2914.02,2370.94,0.0954,Low
OT-00410,OrionTech,2025-01-07,1,Jan,Q1,2025,Operations,North America,Telecom Platforms,Transformation,Enterprise,25,55.97,22368.54,13033.65,9334.89,7.2,9.4,10.9,6.4,1.7,1,2,51,46.7,77.8,78.4,67.8,544.03,631.34,2745.33,537.31,80.88,394.81,999.71,836.79,6770.2,2564.69,0.3027,High
OT-03136,OrionTech,2025-01-08,1,Jan,Q1,2025,HR,APAC,Cybersecurity,Internal Operations,Public Sector,46,53.42,14205.92,7169.03,7036.89,4.5,2.0,8.1,3.9,14.1,3,0,39,32.8,75.4,60.4,76.3,324.53,128.21,3582.77,312.51,640.24,1109.45,0.0,770.02,6867.73,169.16,0.4834,High
OT-00839,OrionTech,2025-01-08,1,Jan,Q1,2025,Legal & Compliance,LATAM,Cloud & Data,Client Delivery,Enterprise,20,45.04,8769.62,4036.67,4732.95,3.2,1.2,8.9,23.7,3.2,0,1,34,68.8,70.3,61.5,77.0,194.57,64.86,1443.08,1601.17,122.51,0.0,410.17,262.78,4099.14,633.81,0.4674,High
OT-04104,OrionTech,2025-01-08,1,Jan,Q1,2025,Controlling,Spain,Corporate Services,Internal Operations,Mid-Market,55,47.55,20748.2,10371.19,10377.01,0.6,1.0,16.4,5.8,1.1,1,1,2,60.9,100.0,81.3,81.8,38.52,57.06,7720.22,413.68,44.46,263.37,622.15,20.45,9179.91,1197.1,0.4424,High
OT-00889,OrionTech,2025-01-08,1,Jan,Q1,2025,Sales,North America,Banking Solutions,Client Delivery,Mid-Market,30,36.15,36871.07,19561.93,17309.14,13.5,3.4,15.2,3.3,4.3,2,1,17,45.8,98.9,62.2,67.5,658.83,147.49,2967.19,178.94,132.13,611.04,840.82,183.2,5719.64,11589.5,0.1551,Medium
OT-04931,OrionTech,2025-01-08,1,Jan,Q1,2025,Customer Support,Spain,Telecom Platforms,Client Delivery,Enterprise,36,31.18,26684.69,16133.86,10550.83,12.0,1.4,15.6,1.8,6.6,6,2,28,34.8,61.4,79.6,65.8,505.12,52.38,3151.92,84.19,174.92,2658.54,1793.76,313.07,8733.9,1816.93,0.3273,High
OT-03103,OrionTech,2025-01-08,1,Jan,Q1,2025,Sales,Spain,Corporate Services,Support,SME,35,47.46,25330.2,14051.83,11278.37,11.5,7.5,20.3,2.4,2.8,1,0,27,62.6,82.1,66.7,61.3,736.82,427.14,6069.66,170.86,112.95,258.28,0.0,263.59,8039.3,3239.07,0.3174,High
OT-01038,OrionTech,2025-01-08,1,Jan,Q1,2025,Marketing,Europe,Digital Services,Transformation,Mid-Market,32,85.0,25699.2,20895.1,4804.1,7.3,6.4,17.6,4.7,0.7,5,3,34,62.7,76.1,71.4,79.0,837.68,652.8,8616.96,599.25,50.57,1702.73,842.23,592.88,13895.1,-9091.0,0.5407,High
OT-01366,OrionTech,2025-01-09,1,Jan,Q1,2025,HR,Spain,Telecom Platforms,Support,Public Sector,33,38.2,9638.69,3900.23,5738.46,8.3,4.8,15.7,2.4,3.2,0,0,45,72.4,66.8,80.6,76.9,428.03,220.03,3562.46,137.52,103.9,0.0,0.0,260.94,4712.88,1025.58,0.489,High
OT-01624,OrionTech,2025-01-09,1,Jan,Q1,2025,IT,North America,Cloud & Data,Transformation,Strategic Accounts,62,53.67,20791.86,13631.09,7160.77,3.1,6.9,5.4,1.2,1.3,8,1,50,63.7,69.0,79.7,91.7,224.61,444.39,3234.37,96.61,59.31,3959.61,511.21,535.76,9065.87,-1905.1,0.436,High
OT-04505,OrionTech,2025-01-09,1,Jan,Q1,2025,Sales,Spain,Digital Services,Internal Operations,SME,41,44.47,32848.18,25861.53,6986.65,3.9,2.0,14.6,11.0,3.3,0,0,31,37.1,96.0,71.2,93.5,234.13,106.73,4791.55,733.75,124.74,0.0,0.0,476.92,6467.82,518.83,0.1969,High
OT-01652,OrionTech,2025-01-09,1,Jan,Q1,2025,Customer Support,APAC,Digital Services,Transformation,Mid-Market,51,39.99,19135.84,11083.43,8052.41,9.6,13.9,2.2,9.2,10.0,3,3,45,14.7,61.0,55.2,75.4,518.27,667.03,807.64,551.86,339.92,972.9,1252.1,844.26,5953.98,2098.43,0.3111,High
